disease,description,success
autosomal dominant Emery-Dreifuss muscular dystrophy,"autosomal dominant Emery-Dreifuss muscular dystrophy, a rare genetic disorder caused primarily by mutations in the LMNA gene, is characterized by early joint contractures, progressive skeletal muscle weakness, and potentially life-threatening cardiac abnormalities.",True
lichen planus,"lichen planus, a chronic inflammatory condition characterized by purple, itchy bumps on the skin and lacy white patches in the mouth and other mucosal areas.",True
acquired aneurysmal subarachnoid hemorrhage,"acquired aneurysmal subarachnoid hemorrhage, a rare and life-threatening neurologic condition caused by the sudden rupture of an intracranial aneurysm into the subarachnoid space that typically presents with an abrupt, severe headache accompanied by symptoms such as nausea, vomiting, and potential neurologic deficits.",True
visual epilepsy,"visual epilepsy, a form of epilepsy in which seizures are triggered by visual stimuli such as flashing lights, fast-moving images, or contrasting patterns.",True
myofibroma,"myofibroma, a benign tumor of myofibroblastic origin characterized by spindle-shaped cells that typically presents in infants and young children as solitary or multicentric nodules, often requiring immunohistochemical analysis for definitive diagnosis.",True
spindle cell hemangioma,"spindle cell hemangioma, a rare benign vascular tumor typically occurring in the dermis or subcutis of the extremities, is characterized by cavernous blood vessels interspersed with spindle cells and may appear as solitary or multiple lesions associated with vascular anomalies.",True
X-linked recessive ocular albinism,"X-linked recessive ocular albinism, a genetic disorder caused by mutations in the GPR143 gene on the X chromosome, primarily affects males by leading to ocular hypopigmentation, foveal hypoplasia, nystagmus, photophobia, and reduced visual acuity while sparing skin and hair pigmentation.",True
gnathomiasis,"gnathomiasis, a parasitic infection caused by the third-stage larvae of Gnathostoma nematodes transmitted through consumption of undercooked or contaminated animal products, characterized by migratory subcutaneous swellings and potential systemic involvement.",True
genital herpes,"genital herpes, a common sexually transmitted infection caused by HSV-1 or HSV-2 that results in genital sores or blisters and can be spread through skin-to-skin contact even when symptoms are mild or absent.",True
splenic disease,"splenic disease, a condition affecting the spleen—often manifesting as enlargement (splenomegaly) due to infections, liver disorders, blood diseases, autoimmune issues, or cancers—that may present with few or nonspecific symptoms.",True
eunuchism,"eunuchism, the condition resulting from male castration that leads to the loss of reproductive and sexual functions, historically practiced for social and cultural roles in various societies.",True
neuroblastoma,"neuroblastoma, a cancer that develops from immature nerve cells and primarily affects young children, especially those under age 5.",True
enterocolitis (disease),"enterocolitis (disease), an inflammatory condition affecting both the small intestine and colon that commonly causes diarrhea, vomiting, and abdominal pain due to factors such as infections, autoimmune reactions, or food allergy responses.",True
gastroenteritis,"gastroenteritis, an inflammation of the stomach and intestines often caused by viral, bacterial, or parasitic infections that results in diarrhea, vomiting, and abdominal discomfort.",True
myalgia-eosinophilia syndrome associated with tryptophan,"myalgia-eosinophilia syndrome associated with tryptophan, a rare multisystem disorder characterized by subacute onset of muscle pain and peripheral eosinophilia that may progress to chronic neuropathy and skin induration after ingestion of L-tryptophan.",True
altitude sickness,"altitude sickness, a condition caused by low oxygen and low pressure at high altitudes that results in symptoms ranging from mild headache and nausea to severe, potentially life-threatening brain and lung edema.",True
"chronic eosinophilic leukemia, not otherwise specified","chronic eosinophilic leukemia, not otherwise specified, is a rare myeloproliferative neoplasm characterized by persistent clonal hypereosinophilia, the absence of defining genetic rearrangements, and an aggressive clinical course with a risk of progression to blast phase.",True
hemorrhoid,"hemorrhoid, a condition characterized by swollen and inflamed veins around the anus or lower rectum that can cause discomfort, pain, itching, and bleeding.",True
acute gonococcal cervicitis,"acute gonococcal cervicitis, an acute inflammatory condition of the cervix caused by Neisseria gonorrhoeae infection, typically presenting with abnormal vaginal discharge, intermenstrual bleeding, and pelvic pain.",True
leiomyosarcoma,"leiomyosarcoma, a rare and aggressive cancer originating in smooth muscle tissue that can affect various organs such as the uterus, abdomen, and blood vessels.",True
periodontitis,"periodontitis, a chronic inflammatory gum infection that damages the supporting tissues and bone of the teeth, potentially leading to tooth loss.",True
cholera,"cholera, an acute bacterial infection caused by Vibrio cholerae that is primarily transmitted through contaminated water or food and results in severe watery diarrhea and rapid dehydration that can be fatal if untreated.",True
atrial fibrillation (disease),"atrial fibrillation (disease), a common arrhythmia characterized by an irregular and often rapid heartbeat in the heart’s upper chambers that increases the risk of blood clots, stroke, and other heart-related complications.",True
adrenomyeloneuropathy,"adrenomyeloneuropathy, a rare X-linked inherited disorder that primarily affects the spinal cord—and sometimes the brain—resulting in progressive neurological symptoms such as muscle stiffness, weakness, and adrenal insufficiency.",True
hereditary persistence of fetal hemoglobin,"hereditary persistence of fetal hemoglobin, a benign genetic condition characterized by continued production of fetal hemoglobin into adulthood due to mutations that disrupt its normal shutdown.",True
holocarboxylase synthetase deficiency,"holocarboxylase synthetase deficiency, an autosomal recessive metabolic disorder caused by HLCS gene mutations that impair biotin activation of carboxylase enzymes and lead to disrupted protein, fat, and carbohydrate metabolism with symptoms typically presenting in infancy.",True
peritonsillar abscess,"peritonsillar abscess, a bacterial infection that causes a localized collection of pus to form in the tissue adjacent to the tonsils, often as a complication of tonsillitis.",True
Hurler-Scheie syndrome,"Hurler-Scheie syndrome, an intermediate form of mucopolysaccharidosis type I, is a rare genetic lysosomal storage disorder caused by insufficient breakdown of glycosaminoglycans that leads to progressive skeletal abnormalities, mild cognitive impairment, corneal clouding, and other systemic complications.",True
familial nephrotic syndrome,"familial nephrotic syndrome, a genetically heterogeneous kidney disorder caused by mutations affecting podocyte function and inherited in both autosomal dominant and recessive forms, which leads to severe proteinuria, hypoalbuminemia, edema, and hyperlipidemia.",True
bacterial meningitis caused by gram-negative bacteria,"bacterial meningitis caused by gram-negative bacteria, an acute inflammation of the meninges marked by high antibiotic resistance and elevated mortality rates, particularly in infants, that requires prompt and effective treatment for a chance at recovery.",True
cytomegalovirus retinitis,"cytomegalovirus retinitis, a serious viral infection of the retina occurring primarily in individuals with weakened immune systems that can lead to progressive vision loss or blindness if not treated promptly.",True
atrioventricular block (disease),"atrioventricular block (disease), is a condition in which the electrical signals between the heart’s upper and lower chambers are delayed or blocked, resulting in various degrees of arrhythmia and potential complications.",True
syphilis,"syphilis, a bacterial sexually transmitted infection that typically begins with a painless sore and can lead to serious health complications if untreated.",True
yolk sac tumor,"yolk sac tumor, a rare malignant germ cell tumor originating from embryonic yolk sac cells that typically affects reproductive organs and is often diagnosed through AFP testing, imaging, and biopsy, with treatment usually involving surgery and chemotherapy.",True
chlamydia infectious disease,"chlamydia infectious disease, a common sexually transmitted bacterial infection that is often asymptomatic but can lead to serious reproductive and other health complications if left untreated.",True
Wolman disease,"Wolman disease, a rare and severe genetic disorder caused by lysosomal acid lipase deficiency that disrupts fat metabolism, leading to organ enlargement, malabsorption, and early fatal complications in infancy.",True
male infertility due to obstructive azoospermia,"male infertility due to obstructive azoospermia, a condition where a blockage in the male reproductive tract prevents the normal transport of sperm, resulting in the complete absence of sperm in the ejaculate despite normal testicular production.",True
patent ductus arteriosus,"patent ductus arteriosus, a congenital heart defect in which the fetal vessel connecting the aorta and pulmonary artery fails to close after birth, leading to abnormal blood circulation.",True
hyperparathyroidism,"hyperparathyroidism, a condition in which one or more overactive parathyroid glands produce excessive parathyroid hormone, leading to elevated blood calcium levels and potential complications.",True
brain edema,"brain edema, is a serious condition marked by abnormal fluid accumulation in the brain that increases intracranial pressure and can result from trauma, stroke, infection, tumors, or other causes.",True
heparin-induced thrombocytopenia (disease),"heparin-induced thrombocytopenia (disease), is a life-threatening immune-mediated complication of heparin therapy characterized by a rapid drop in platelet counts and an increased risk of potentially fatal thromboembolic events.",True
brain ischemia,"brain ischemia, a condition of insufficient blood flow and oxygen to the brain that can lead to stroke, brain damage, or death.",True
arteriosclerosis obliterans,"arteriosclerosis obliterans, a chronic vascular disease caused by atherosclerosis that progressively narrows and occludes arteries in the abdomen and lower extremities, leading to limb ischemia and symptoms such as pain and numbness.",True
catecholaminergic polymorphic ventricular tachycardia,"catecholaminergic polymorphic ventricular tachycardia, a rare inherited arrhythmia syndrome characterized by stress-induced bidirectional or polymorphic ventricular tachycardia that can lead to syncope and sudden cardiac death.",True
hepatocellular carcinoma,"hepatocellular carcinoma, is the most common primary liver cancer that predominantly develops in patients with chronic liver disease, such as cirrhosis from hepatitis infections or metabolic dysfunction, and is known for its aggressive behavior.",True
microcytic anemia,"microcytic anemia, a condition characterized by abnormally small red blood cells with reduced hemoglobin, most commonly resulting from iron deficiency.",True
chronic Epstein-Barr virus infection syndrome,"chronic Epstein-Barr virus infection syndrome, a rare, potentially life-threatening disorder characterized by the body's inability to control Epstein-Barr virus, resulting in persistent mononucleosis-like symptoms, systemic inflammation, and clonal proliferation of infected T or NK cells.",True
thyroiditis (disease),"thyroiditis (disease), is an inflammatory condition of the thyroid gland commonly triggered by an autoimmune response that damages thyroid cells and disrupts hormone production.",True
subacute bursitis,"subacute bursitis, an intermediate-stage inflammation of a fluid-filled bursa near a joint that causes moderate pain, swelling, and restricted movement often due to repetitive strain or injury.",True
intracranial hypertension,"intracranial hypertension, a condition characterized by increased cerebrospinal fluid pressure inside the skull that can lead to headaches, vision problems, and other neurological symptoms.",True
chorioretinitis (disease),"chorioretinitis (disease), an inflammatory condition affecting both the choroid and retina that can result from infections such as toxoplasmosis, tuberculosis, and cytomegalovirus or be associated with systemic inflammatory disorders like Behçet's disease.",True
occupational dermatitis,"occupational dermatitis, a work-related skin condition caused by exposure to irritants and allergens in the workplace that can lead to chronic inflammation and significantly impair quality of life.",True
benign recurrent intrahepatic cholestasis,"benign recurrent intrahepatic cholestasis, a rare genetic liver disorder marked by intermittent episodes of cholestasis, jaundice, and pruritus that resolve spontaneously without causing progressive liver damage.",True
renal cell adenocarcinoma,"renal cell adenocarcinoma, a malignant tumor that originates in the kidney’s tubule lining and is the most common type of kidney cancer in adults.",True
thromboangiitis obliterans,"thromboangiitis obliterans, a rare, smoking-related inflammatory disease that causes clotting and blockage of small and medium arteries and veins in the extremities, leading to reduced blood flow, pain, ulcers, and potential limb loss.",True
inappropriate ADH syndrome,"inappropriate ADH syndrome, a condition characterized by the unsuppressed release or excessive action of antidiuretic hormone leading to water retention and hyponatremia.",True
G6PD deficiency,"G6PD deficiency, a genetic enzyme disorder that impairs red blood cells' ability to combat oxidative stress, leading to hemolytic anemia.",True
hypoaldosteronism disease,"hypoaldosteronism disease, an endocrine disorder characterized by insufficient aldosterone production or function that disrupts sodium and potassium balance, leading to hyperkalemia and a mild normal anion gap metabolic acidosis.",True
night blindness,"night blindness, a condition characterized by difficulty seeing in low-light environments due to various eye disorders, nutritional deficiencies, or other medical conditions.",True
Crimean-Congo hemorrhagic fever,"Crimean-Congo hemorrhagic fever, a severe tick-borne viral infection transmitted through animal contact that causes hemorrhagic symptoms and has a high fatality rate.",True
pneumococcal meningitis,"pneumococcal meningitis, a serious bacterial infection of the brain and spinal cord membranes caused by Streptococcus pneumoniae that can lead to life-threatening complications, particularly in young children, older adults, and individuals with weakened immune systems.",True
burn,"burn, an injury to skin and underlying tissues caused by thermal, chemical, electrical, friction, or radiation exposure, with severity ranging from superficial first-degree burns to deep, life-threatening third-degree or higher burns.",True
chronic eosinophilic leukemia,"chronic eosinophilic leukemia, a rare chronic myeloproliferative neoplasm characterized by clonal proliferation of eosinophil precursors that leads to high eosinophil counts in the blood, bone marrow, and tissues, potentially causing organ damage.",True
posterior leukoencephalopathy syndrome,"posterior leukoencephalopathy syndrome, a neurological condition marked by swelling primarily in the brain's posterior white matter that can cause headaches, visual disturbances, seizures, and altered consciousness and is often reversible with prompt treatment.",True
calciphylaxis cutis,"calciphylaxis cutis, a rare, life-threatening condition characterized by calcium deposition in the small blood vessels of the skin and fatty tissue that leads to painful, necrotic ulcers and poses significant risks of infection and sepsis, particularly in patients with advanced kidney disease.",True
inborn disorder of purine or pyrimidine metabolism,"inborn disorder of purine or pyrimidine metabolism, a group of rare genetic conditions caused by enzyme deficiencies or overactivity that disrupt nucleotide synthesis, salvage, or degradation and lead to a broad spectrum of clinical manifestations including neurological, immunological, hematological, and renal abnormalities.",True
metastatic melanoma,"metastatic melanoma, an advanced form of skin cancer where cancer cells spread from the original tumor to distant organs such as the brain, lungs, or bones.",True
"COPD, severe early onset","COPD, severe early onset, is a progressive lung disease that develops in younger individuals—often due to genetic factors, impaired lung growth, or early life exposures—resulting in significantly reduced lung function and severe respiratory symptoms.",True
hemiparkinsonism-hemiatrophy syndrome,"hemiparkinsonism-hemiatrophy syndrome, a rare movement disorder characterized by unilateral body atrophy and slowly progressive, ipsilateral parkinsonian signs such as bradykinesia, rigidity, and tremor, often associated with early-life brain injury.",True
psychotic disorder,"psychotic disorder, an umbrella term for severe mental health conditions characterized by impaired reality testing, manifesting as delusions, hallucinations, and disorganized thinking.",True
dysentery,"dysentery, an intestinal infection caused by bacteria or parasites, is characterized by severe diarrhea with blood or mucus, abdominal pain, and fever, which can lead to dehydration if untreated.",True
Rocky mountain spotted fever,"Rocky mountain spotted fever, a severe tickborne bacterial infection caused by Rickettsia rickettsii that typically presents with sudden fever, headache, and rash and can be fatal without early antibiotic treatment.",True
lichen disease,"lichen disease, a chronic inflammatory and autoimmune condition that affects the skin, mucous membranes, nails, and hair, often presenting as purple, itchy, flat bumps on the skin and lacy white patches or painful sores in the mouth and genital areas.",True
McLeod neuroacanthocytosis syndrome,"McLeod neuroacanthocytosis syndrome, an X-linked recessive neurodegenerative disorder caused by mutations in the XK gene, primarily affects males with movement abnormalities, cognitive and psychiatric changes, acanthocytosis, and cardiac complications due to basal ganglia degeneration.",True
hypertrichosis (disease),"hypertrichosis (disease), a condition marked by abnormal excessive hair growth that can appear over the entire body or in specific areas and may be congenital or acquired.",True
neurotic disorder,"neurotic disorder, a mental health condition marked by excessive anxiety, chronic distress, and emotional instability that significantly interferes with daily functioning.",True
non-papillary transitional cell carcinoma of the bladder,"non-papillary transitional cell carcinoma of the bladder, a form of urothelial cancer characterized by a flat growth pattern of malignant cells in the bladder lining rather than forming outwardly projecting, papillary tumors.",True
"chronic myelogenous leukemia, BCR-ABL1 positive","chronic myelogenous leukemia, BCR-ABL1 positive, is a clonal myeloproliferative neoplasm characterized by the Philadelphia chromosome resulting from a t(9;22)(q34;q11.2) translocation that produces the oncogenic BCR-ABL1 fusion gene, leading to uncontrolled granulocyte proliferation and typically treated with tyrosine kinase inhibitors.",True
liver disease,"liver disease, a chronic condition that progressively damages the liver and can lead to complications such as inflammation, cirrhosis, liver failure, and even liver cancer.",True
breast neoplasm,"breast neoplasm, a disease in which abnormal cells in the breast tissue grow uncontrollably and form tumors that can spread to other parts of the body.",True
ischemic bowel disease,"ischemic bowel disease, a group of disorders caused by reduced blood flow to the gastrointestinal tract that leads to inflammation, intestinal injury, and associated symptoms such as abdominal pain, bleeding, and diarrhea.",True
hairy cell leukemia variant,"hairy cell leukemia variant, a rare chronic lymphoproliferative disorder distinguished from classic hairy cell leukemia by its unique morphological and immunophenotypic features—such as prominent nucleoli and circumferential cytoplasmic projections—and a more aggressive clinical course with reduced response to conventional therapies.",True
eye infectious disease,"eye infectious disease, a condition caused by pathogenic microorganisms such as viruses, bacteria, fungi, or parasites that infect various parts of the eye and can lead to inflammation, discomfort, and vision impairment.",True
scurvy,"scurvy, a disease caused by a severe vitamin C deficiency that impairs collagen production and leads to symptoms like weakness, gum bleeding, anemia, and poor wound healing.",True
nephrolithiasis susceptibility caused by SLC26A1,"nephrolithiasis susceptibility caused by SLC26A1, is an inherited condition in which pathogenic mutations in the SLC26A1 gene reduce protein function and stability, leading to impaired anion transport and an increased risk of calcium oxalate kidney stone formation.",True
granulomatosis with polyangiitis,"granulomatosis with polyangiitis, a rare autoimmune vasculitis characterized by inflammation and granuloma formation in small to medium-sized blood vessels, most notably affecting the respiratory tract and kidneys.",True
hypotensive disorder,"hypotensive disorder, a condition defined by abnormally low blood pressure—typically below 90/60 mm Hg—that can lead to symptoms such as dizziness, fatigue, and fainting, especially when changing positions.",True
diabetic nephropathy,"diabetic nephropathy, a chronic kidney disease caused by long-term high blood sugar and high blood pressure that gradually damages the kidneys’ filtering system, often leading to protein leakage and eventual kidney failure.",True
aortic stenosis,"aortic stenosis, a narrowing of the aortic valve that restricts blood flow from the heart to the aorta and can lead to heart failure if left untreated.",True
ehrlichiosis,"ehrlichiosis, a tick-borne bacterial infection transmitted by ticks such as the lone star and blacklegged ticks that causes flu-like symptoms including fever, headache, and muscle aches.",True
paroxysmal nocturnal hemoglobinuria,"paroxysmal nocturnal hemoglobinuria, a rare acquired blood disorder caused by a PIGA gene mutation that leads to complement-mediated red blood cell destruction, resulting in hemolytic anemia, hemoglobinuria, thrombosis, and potential kidney complications.",True
Prader-Willi syndrome,"Prader-Willi syndrome, a rare genetic disorder caused by abnormalities on chromosome 15, is characterized by early-life hypotonia and feeding difficulties that transition into chronic hunger, developmental delays, behavioral challenges, and a high risk of obesity and metabolic issues.",True
inflammatory demyelinating polyradiculoneuropathy,"inflammatory demyelinating polyradiculoneuropathy, a progressive autoimmune disorder in which the immune system mistakenly attacks the myelin sheath of peripheral nerves, causing symmetric muscle weakness and sensory impairments.",True
neuroendocrine neoplasm,"neuroendocrine neoplasm, a rare cancer originating from specialized cells with both nerve and hormone characteristics that can develop in various organs and potentially secrete excess hormones leading to diverse clinical symptoms.",True
cryoglobulinemia,"cryoglobulinemia, a rare condition where abnormal blood proteins precipitate at low temperatures, leading to blood vessel inflammation and tissue damage.",True
varicose disease,"varicose disease, a condition in which superficial veins—most commonly in the legs—become enlarged, twisted, and overfilled with blood due to weakened valves, often causing pain, discomfort, and occasionally leading to more serious complications.",True
hemolytic-uremic syndrome,"hemolytic-uremic syndrome, a condition marked by small blood vessel damage that leads to blood clot formation causing red blood cell destruction, low platelet count, and acute kidney injury, often triggered by a gastrointestinal infection with Shiga toxin–producing bacteria.",True
pneumonia caused by chlamydia,"pneumonia caused by chlamydia, is a respiratory infection caused by the obligate intracellular bacterium Chlamydia pneumoniae that is typically mild and self-limiting but may occasionally require antibiotics.",True
toxoplasmosis,"toxoplasmosis, a parasitic infection caused by the protozoan Toxoplasma gondii that can range from mild, flu-like symptoms to severe, life-threatening complications in immunocompromised individuals and newborns infected during pregnancy.",True
abetalipoproteinemia,"abetalipoproteinemia, a rare autosomal recessive disorder caused by mutations in the MTTP gene that disrupt the formation of apolipoprotein B-containing lipoproteins, leading to fat malabsorption, fat-soluble vitamin deficiencies, and a range of neurological and ocular symptoms.",True
aortic valve stenosis,"aortic valve stenosis, a heart valve disease characterized by the narrowing of the aortic valve that restricts blood flow from the heart to the aorta.",True
testicular germ cell tumor,"testicular germ cell tumor, a cancer predominantly affecting young men that originates from abnormal germ cells and is categorized mainly into seminomas and nonseminomatous tumors with distinct histopathologic and genetic profiles.",True
diabetic cataract,"diabetic cataract, a condition where uncontrolled diabetes leads to the clouding of the eye’s lens, impairing vision and often requiring blood sugar control and surgical intervention.",True
schizophreniform disorder,"schizophreniform disorder, a psychotic condition featuring schizophrenia-like symptoms such as hallucinations, delusions, and disorganized speech that last from one to six months.",True
status epilepticus,"status epilepticus, a life-threatening neurological emergency defined by a seizure lasting more than 5 minutes or repeated seizures without full recovery of consciousness that requires immediate intervention to prevent permanent brain damage or death.",True
mycotic corneal ulcer,"mycotic corneal ulcer, a fungal infection of the cornea that typically presents as a dry, raised lesion with feathery borders and satellite lesions, often following trauma or steroid use, which can lead to severe inflammation and vision loss if not promptly treated.",True
hidradenitis,"hidradenitis, a chronic inflammatory skin condition that leads to painful, recurring nodules, abscesses, and scarring in areas like the underarms, groin, and under the breasts.",True
restless legs syndrome,"restless legs syndrome, a neurological disorder characterized by an overwhelming urge to move the legs due to unpleasant sensations, especially during rest, which can interfere with sleep and daily activities.",True
closed-angle glaucoma,"closed-angle glaucoma, a condition in which the iris blocks the eye's drainage angle, rapidly increasing intraocular pressure and posing a risk of sudden, permanent vision loss.",True
Listeria meningitis,"Listeria meningitis, a severe bacterial meningitis caused by Listeria infection that can rapidly become life-threatening, primarily affects newborns, elderly, pregnant women, and those with weakened immune systems and presents with fever, headache, neck stiffness, and altered mental status.",True
external ear disease,"external ear disease, an inflammation or infection of the outer ear canal—often resulting from bacterial or fungal exposure (commonly after water exposure)—that causes pain, swelling, and discharge.",True
ariboflavinosis,"ariboflavinosis, a rare condition caused by a deficiency of riboflavin (vitamin B2) that leads to symptoms such as mouth sores, skin rashes, eye issues, and gastrointestinal problems.",True
Shwachman-Diamond syndrome,"Shwachman-Diamond syndrome, a rare inherited disorder affecting the pancreas, bone marrow, and skeleton, is characterized by exocrine pancreatic insufficiency, hematologic abnormalities, and bone malformations.",True
cystinuria,"cystinuria, a genetic disorder that leads to high levels of cystine in the urine, resulting in the formation of recurrent kidney and urinary tract stones.",True
vitamin A deficiency (disease),"vitamin A deficiency (disease), is a condition resulting from insufficient vitamin A intake or absorption that leads to vision problems such as night blindness and xerophthalmia, increases the risk of infections, and contributes to higher morbidity and mortality, particularly in young children and pregnant women.",True
hyperlipidemia,"hyperlipidemia, a condition characterized by abnormally high levels of blood lipids such as cholesterol and triglycerides that increase the risk of cardiovascular diseases like heart attack and stroke, and may result from genetic or lifestyle factors.",True
metastasis from malignant tumor of colon,"metastasis from malignant tumor of colon, is a condition in which cancer cells from the colon break away, travel through the bloodstream or lymphatic system, and form new tumors in distant organs, typically marking an advanced stage of colorectal cancer.",True
chondrocalcinosis,"chondrocalcinosis, a type of arthritis caused by calcium pyrophosphate crystal deposits in the joints and surrounding tissues that can lead to inflammation, pain, and cartilage damage.",True
familial thrombocytosis,"familial thrombocytosis, an autosomal dominant disorder caused by germline mutations (typically in THPO or MPL) that leads to a sustained increase in platelet production with an associated risk of thrombosis and hemorrhage but without progression to myeloproliferation.",True
Haddad syndrome,"Haddad syndrome, a rare neurocristopathy associated with PHOX2B gene mutations, is characterized by the concurrent presence of congenital central hypoventilation syndrome and Hirschsprung disease.",True
allergic bronchopulmonary aspergillosis,"allergic bronchopulmonary aspergillosis, a hypersensitivity reaction to Aspergillus fumigatus colonization in the airways that primarily affects individuals with asthma or cystic fibrosis and can lead to bronchospasm and pulmonary infiltrates.",True
Liddle syndrome,"Liddle syndrome, a rare autosomal dominant genetic disorder characterized by early-onset hypertension, hypokalemia, and metabolic alkalosis due to increased sodium reabsorption in the distal nephron.",True
congestive heart failure,"congestive heart failure, a chronic condition in which the heart’s reduced pumping ability causes inefficient blood circulation and fluid accumulation in the lungs and other tissues.",True
non-infectious uveitis,"non-infectious uveitis, is an immune-mediated inflammatory condition of the eye, often associated with systemic diseases or trauma, that can lead to significant vision loss if not effectively managed.",True
guttate psoriasis,"guttate psoriasis, a type of psoriasis characterized by small, red, scaly, drop-like lesions often triggered by a streptococcal infection in young individuals.",True
salmonellosis,"salmonellosis, a common bacterial foodborne illness that causes gastrointestinal symptoms such as diarrhea, fever, and abdominal cramps from consuming contaminated food or water.",True
iris disease,"iris disease, a hyperinflammatory syndrome occurring during immune system recovery—typically after initiating antiretroviral therapy in immunosuppressed patients—where an exaggerated response to preexisting infections paradoxically worsens clinical symptoms.",True
pneumonitis,"pneumonitis, an inflammatory lung condition triggered by exposure to allergens, chemicals, radiation, or certain medications that can impair breathing and reduce lung function.",True
glioblastoma (disease),"glioblastoma (disease), is an aggressive, fast-growing brain tumor originating from astrocytes that presents complex neurological symptoms and challenges current treatment strategies.",True
shigellosis,"shigellosis, an acute intestinal infection caused by Shigella bacteria that leads to diarrhea, abdominal pain, and fever, often spread through contaminated food, water, or person-to-person contact.",True
