disease,count,top1_disease,top2_disease,top3_disease,top4_disease,top5_disease,top1_mesh,top2_mesh,top3_mesh,top4_mesh,top5_mesh
Chronic Lymphocytic Leukemia,38,"Leukemia, Lymphocytic, Chronic, B-Cell","Leukemia, Neutrophilic, Chronic",Lymphocytic Choriomeningitis,"Leukemia, Myelomonocytic, Chronic","Leukemia, Myeloid, Chronic-Phase",D015451,D015467,D008216,D015477,D015466
Amyotrophic Lateral Sclerosis,37,Amyotrophic Lateral Sclerosis,Sclerosis,"Leukoencephalopathy, Progressive Multifocal",Hippocampal Sclerosis,Lateral Medullary Syndrome,D000690,D012598,D007968,D000092223,D014854
Tuberculosis,35,"Tuberculosis, Bovine","Tuberculosis, Pleural","Tuberculosis, Laryngeal","Tuberculosis, Miliary","Tuberculosis, Spinal",D014380,D014396,D014387,D014391,D014399
Schizophrenia,33,Meningioma,"Psychoses, Alcoholic",Anhedonia,"Spondylitis, Ankylosing",Neuroleptic Malignant Syndrome,D008579,D011604,D059445,D013167,D009459
Atopic Dermatitis,33,"Dermatitis, Atopic",Dermatitis Herpetiformis,"Dermatitis, Occupational","Dermatitis, Exfoliative",Digital Dermatitis,D003876,D003874,D009783,D003873,D058066
Acute Myeloid Leukemia (Aml-M2),33,"Leukemia, Megakaryoblastic, Acute","Leukemia, Myeloid, Accelerated Phase","Leukemia, Monocytic, Acute","Leukemia, Myeloid, Chronic-Phase","Leukemia, Promyelocytic, Acute",D007947,D015465,D007948,D015466,D015473
Type 1 Diabetes,32,"Diabetes Mellitus, Type 1",Glycogen Storage Disease Type I,Latent Autoimmune Diabetes in Adults,"von Willebrand Disease, Type 1","Diabetes, Gestational",D003922,D005953,D000071698,D056725,D016640
Huntington's Disease,31,Huntington Disease,Hirschsprung Disease,Tay-Sachs Disease,Hodgkin Disease,Parkinson Disease,D006816,D006627,D013661,D006689,D010300
Prostate Cancer,31,"Prostatic Neoplasms, Castration-Resistant",Prostatic Intraepithelial Neoplasia,Prostatitis,Parathyroid Neoplasms,Cancer Pain,D064129,D019048,D011472,D010282,D000072716
Juvenile Idiopathic Arthritis,31,"Arthritis, Juvenile","Arthritis, Psoriatic",Idiopathic Hypersomnia,"Arthritis, Gouty","Arthritis, Experimental",D001171,D015535,D020177,D015210,D001169
Melanoma,29,Melanoma,"Melanoma, Amelanotic","Melanoma, Experimental",Mesenchymoma,"Mesothelioma, Malignant",D008545,D018328,D008546,D008637,D000086002
Multiple Myeloma,29,Multiple Myeloma,Smoldering Multiple Myeloma,"Fractures, Multiple",Multiple Endocrine Neoplasia Type 1,Multiple System Atrophy,D009101,D000075122,D000069076,D018761,D019578
Glioblastoma,26,Glioblastoma,Gliosarcoma,Meningioma,"Glioma, Subependymal",Ganglioglioma,D005909,D018316,D008579,D018315,D018303
Sarcoidosis,24,"Sarcoidosis, Pulmonary",Sarcocystosis,Sarcoglycanopathies,Lymphomatoid Granulomatosis,Myocarditis,D017565,D012523,D058088,D008230,D009205
Autism Spectrum Disorder,23,Fetal Alcohol Spectrum Disorders,Fragile X Syndrome,Syndrome,Alexander Disease,Adie Syndrome,D063647,D005600,D013577,D038261,D000270
Lung Adenocarcinoma,21,"Adenocarcinoma, Bronchiolo-Alveolar","Carcinoma, Lewis Lung","Adenocarcinoma, Clear Cell",Adenocarcinoma in Situ,"Carcinoma, Non-Small-Cell Lung",D002282,D018827,D018262,D065311,D002289
Cervical Cancer,21,Uterine Cervical Neoplasms,Squamous Intraepithelial Lesions of the Cervix,"Carcinoma, Ovarian Epithelial",Uterine Cervical Erosion,"Carcinoma, Endometrioid",D002583,D065310,D000077216,D002579,D018269
Brain Tumor,21,Glioblastoma,Brain Edema,Skull Base Neoplasms,Craniopharyngioma,Carotid Body Tumor,D005909,D001929,D019292,D003397,D002345
Systemic Sclerosis [Scleroderma],21,"Scleroderma, Diffuse",Sclerosis,Scleritis,Scleredema Adultorum,"Scleroderma, Localized",D045743,D012598,D015423,D012592,D012594
Pancreatic Ductal Adenocarcinoma,20,"Carcinoma, Pancreatic Ductal",Pancreatic Intraductal Neoplasms,"Carcinoma, Ductal, Breast",Duodenal Neoplasms,"Adenocarcinoma, Bronchiolo-Alveolar",D021441,D000077779,D018270,D004379,D002282
Colon Tumor,19,Colonic Polyps,Sigmoid Neoplasms,Jejunal Neoplasms,Colitis-Associated Neoplasms,Adenomatoid Tumor,D003111,D012811,D007580,D000083023,D018254
Myelodysplastic Syndromes,19,Congenital Bone Marrow Failure Syndromes,Trichothiodystrophy Syndromes,Primary Myelofibrosis,MELAS Syndrome,Osteochondrodysplasias,D000080984,D054463,D055728,D017241,D010009
Primary Sjogren Syndrome,18,Sjogren's Syndrome,Sjogren-Larsson Syndrome,Primary Graft Dysfunction,Primary Myelofibrosis,Acquired Hyperostosis Syndrome,D012859,D016111,D055031,D055728,D020083
Down Syndrome,18,Down Syndrome,Adie Syndrome,Posterior Leukoencephalopathy Syndrome,Turner Syndrome,Jacobsen Distal 11q Deletion Syndrome,D004314,D000270,D054038,D014424,D054868
Renal Cell Carcinoma,18,"Carcinoma, Renal Cell","Carcinoma, Transitional Cell","Adenocarcinoma, Clear Cell",Renal Colic,"Carcinoma, Small Cell",D002292,D002295,D018262,D056844,D018288
Myelodysplastic Syndrome,18,Primary Myelofibrosis,Congenital Bone Marrow Failure Syndromes,MELAS Syndrome,Trichothiodystrophy Syndromes,Marfan Syndrome,D055728,D000080984,D017241,D054463,D008382
Cystic Fibrosis,18,Cystic Fibrosis,Pulmonary Fibrosis,Retroperitoneal Fibrosis,Osteitis Fibrosa Cystica,Peritoneal Fibrosis,D003550,D011658,D012185,D010002,D056627
Chronic Myeloid Leukemia,17,"Leukemia, Myeloid, Chronic-Phase","Leukemia, Myelomonocytic, Chronic","Leukemia, Neutrophilic, Chronic","Leukemia, Myeloid, Accelerated Phase","Leukemia, Lymphocytic, Chronic, B-Cell",D015466,D015477,D015467,D015465,D015451
Non-Alcoholic Steatohepatitis,17,Non-alcoholic Fatty Liver Disease,"Fatty Liver, Alcoholic","Liver Cirrhosis, Alcoholic",Steatorrhea,"Hepatitis, Alcoholic",D065626,D005235,D008104,D045602,D006519
Myotonic Dystrophy Type 1,17,Myotonic Dystrophy,"Diabetes Mellitus, Type 1","Muscular Dystrophy, Duchenne","Muscular Dystrophy, Oculopharyngeal","Muscular Dystrophy, Facioscapulohumeral",D009223,D003922,D020388,D039141,D020391
Obesity,17,Pediatric Obesity,"Obesity, Morbid","Obesity, Abdominal",Obesity Hypoventilation Syndrome,"Obesity, Metabolically Benign",D063766,D009767,D056128,D010845,D000067329
Non-Small Cell Lung Cancer,16,"Carcinoma, Non-Small-Cell Lung",Small Cell Lung Carcinoma,"Carcinoma, Small Cell","Sarcoma, Small Cell","Carcinoma, Lewis Lung",D002289,D055752,D018288,D018228,D018827
Hutchinson-Gilford Progeria Syndrome,16,Progeria,DiGeorge Syndrome,Gilbert Disease,Cogan Syndrome,Dysgerminoma,D011371,D004062,D005878,D055952,D004407
Osteoarthritis,16,"Osteoarthritis, Knee","Osteoarthritis, Hip","Osteoarthritis, Spine","Osteoarthropathy, Primary Hypertrophic","Osteoarthropathy, Secondary Hypertrophic",D020370,D015207,D055013,D010004,D010005
Ovarian Cancer,16,"Carcinoma, Ovarian Epithelial",Hereditary Breast and Ovarian Cancer Syndrome,Primary Ovarian Insufficiency,Ovarian Hyperstimulation Syndrome,Ovarian Torsion,D000077216,D061325,D016649,D016471,D000082843
Bipolar Disorder,15,Mania,Lewy Body Disease,Addison Disease,Kashin-Beck Disease,Blepharophimosis,D000087122,D020961,D000224,D057767,D016569
Hepatitis C,14,"Hepatitis C, Chronic",Hepatitis A,Hepatitis E,"Hepatitis D, Chronic","Hepatitis B, Chronic",D019698,D006506,D016751,D019701,D019694
Pre-Eclampsia,14,Pre-Eclampsia,Eclampsia,Preleukemia,Placenta Previa,Prehypertension,D011225,D004461,D011289,D010923,D058246
Papillary Thyroid Carcinoma,14,"Thyroid Cancer, Papillary","Carcinoma, Papillary","Thyroid Carcinoma, Anaplastic","Carcinoma, Papillary, Follicular","Cystadenocarcinoma, Papillary",D000077273,D002291,D065646,D018265,D018283
Juvenile Dermatomyositis,13,Dermatomyositis,"Arthritis, Juvenile",Pyomyositis,"Myoclonic Epilepsy, Juvenile",Dermatofibrosarcoma,D003882,D001171,D052880,D020190,D018223
Coeliac Disease,13,Crohn Disease,Celiac Disease,Neglected Diseases,Refsum Disease,Lafora Disease,D003424,D002446,D058069,D012035,D020192
Type 2 Diabetes,13,"Diabetes Mellitus, Type 1","von Willebrand Disease, Type 2",Glycogen Storage Disease Type II,Multiple Endocrine Neoplasia Type 2a,"Diabetes, Gestational",D003922,D056728,D006009,D018813,D016640
Lupus Nephritis,12,Lupus Nephritis,Lupus Vulgaris,Nephrosclerosis,"Nephritis, Hereditary","Panniculitis, Lupus Erythematosus",D008181,D008177,D009400,D009394,D015435
Gastric Cancer,12,Stomach Neoplasms,Gastric Fistula,Gallbladder Neoplasms,Gastrinoma,Gingival Neoplasms,D013274,D005747,D005706,D015408,D005887
Oral Squamous Cell Carcinoma,12,Esophageal Squamous Cell Carcinoma,Squamous Cell Carcinoma of Head and Neck,Atypical Squamous Cells of the Cervix,"Carcinoma, Basosquamous","Carcinoma, Acinar Cell",D000077277,D000077195,D065309,D002281,D018267
Heart Failure,12,"Heart Failure, Systolic","Heart Failure, Diastolic",Heartburn,Heartwater Disease,Intestinal Failure,D054143,D054144,D006356,D006357,D000090124
Glioma,12,Glioblastoma,"Glioma, Subependymal",Optic Nerve Glioma,Gliosarcoma,Ganglioglioma,D005909,D018315,D020339,D018316,D018303
Viral Respiratory Tract Infection,12,Respiratory Syncytial Virus Infections,Reproductive Tract Infections,Rotavirus Infections,Papillomavirus Infections,Zika Virus Infection,D018357,D060737,D012400,D030361,D000071243
Lung Disease,12,Pulmonary Heart Disease,Lung Injury,Farmer's Lung,Pulmonary Emphysema,Erdheim-Chester Disease,D011660,D055370,D005203,D011656,D031249
Dengue Disease,12,Severe Dengue,Waterborne Diseases,Zika Virus Infection,De Quervain Disease,Typhoid Fever,D019595,D000069578,D000071243,D053684,D014435
Pancreatic Cancer,11,"Carcinoma, Pancreatic Ductal",Pancreatic Fistula,Pancreatic Intraductal Neoplasms,Pancreatic Pseudocyst,Pelvic Neoplasms,D021441,D010185,D000077779,D010192,D010386
Sickle Cell Disease,11,Sickle Cell Trait,Hemoglobin SC Disease,Hemoglobin C Disease,Tay-Sachs Disease,"Anemia, Diamond-Blackfan",D012805,D006450,D006445,D013661,D029503
Bladder Cancer,11,Non-Muscle Invasive Bladder Neoplasms,Urinary Bladder Calculi,Urinary Bladder Fistula,"Urinary Bladder, Neurogenic",Urethral Neoplasms,D000093284,D001744,D001747,D001750,D014523
Septic Shock,11,"Shock, Septic",Hemorrhagic Septicemia,"Hemorrhagic Septicemia, Viral","Abortion, Septic",Neonatal Sepsis,D012772,D006483,D031941,D000031,D000071074
Acute Myeloid Leukemia,11,"Leukemia, Myeloid, Accelerated Phase","Leukemia, Megakaryoblastic, Acute","Leukemia, Monocytic, Acute","Leukemia, Myeloid, Chronic-Phase","Leukemia, Myelomonocytic, Acute",D015465,D007947,D007948,D015466,D015479
Lung Squamous Cell Carcinoma,11,Esophageal Squamous Cell Carcinoma,Squamous Cell Carcinoma of Head and Neck,Small Cell Lung Carcinoma,"Carcinoma, Non-Small-Cell Lung","Carcinoma, Lewis Lung",D000077277,D000077195,D055752,D002289,D018827
Cirrhosis,11,"Liver Cirrhosis, Alcoholic","Liver Cirrhosis, Biliary","Liver Cirrhosis, Experimental",Peliosis Hepatis,Hepatic Encephalopathy,D008104,D008105,D008106,D010382,D006501
Clear Cell Renal Cell Carcinoma,11,"Carcinoma, Renal Cell","Adenocarcinoma, Clear Cell","Sarcoma, Clear Cell","Carcinoma, Transitional Cell","Carcinoma, Small Cell",D002292,D018262,D018227,D002295,D018288
Dilated Cardiomyopathy,11,"Cardiomyopathy, Dilated",Diabetic Cardiomyopathies,Chagas Cardiomyopathy,"Cardiomyopathy, Alcoholic","Cardiomyopathy, Restrictive",D002311,D058065,D002598,D002310,D002313
Leprosy,11,"Leprosy, Lepromatous","Leprosy, Borderline","Leprosy, Tuberculoid","Tuberculosis, Laryngeal",Granulomatous Mastitis,D015440,D015439,D015441,D014387,D058890
Acquired Immunodeficiency Syndrome,11,Acquired Immunodeficiency Syndrome,Simian Acquired Immunodeficiency Syndrome,Murine Acquired Immunodeficiency Syndrome,Feline Acquired Immunodeficiency Syndrome,Severe Combined Immunodeficiency,D000163,D016097,D016183,D016181,D016511
Polycystic Ovary Syndrome,11,Polycystic Ovary Syndrome,Ovarian Hyperstimulation Syndrome,"Polycystic Kidney, Autosomal Recessive","Polycystic Kidney, Autosomal Dominant",Hereditary Breast and Ovarian Cancer Syndrome,D011085,D016471,D017044,D016891,D061325
Germ Cell Tumor,10,Granulosa Cell Tumor,Sertoli Cell Tumor,Leydig Cell Tumor,Glomus Tumor,Granular Cell Tumor,D006106,D012707,D007984,D005918,D016586
Lung Cancer,10,"Carcinoma, Lewis Lung",Small Cell Lung Carcinoma,Lung Injury,"Carcinoma, Non-Small-Cell Lung",Lung Abscess,D018827,D055752,D055370,D002289,D008169
Esophageal Squamous Cell Carcinoma,10,Esophageal Squamous Cell Carcinoma,Squamous Cell Carcinoma of Head and Neck,Esophageal Stenosis,"Carcinoma, Adenosquamous",Atypical Squamous Cells of the Cervix,D000077277,D000077195,D004940,D018196,D065309
Colorectal Adenoma,10,Colonic Polyps,Adrenocortical Adenoma,"Adenoma, Bile Duct","Adenoma, Villous","Colorectal Neoplasms, Hereditary Nonpolyposis",D003111,D018246,D002759,D018253,D003123
Endometriosis,10,Endometriosis,Endometritis,Endometrial Hyperplasia,"Carcinoma, Endometrioid",Eclampsia,D004715,D004716,D004714,D018269,D004461
Esophageal Cancer,10,Esophageal Squamous Cell Carcinoma,Esophageal Stenosis,Esophageal Atresia,Esophageal Achalasia,Eosinophilic Esophagitis,D000077277,D004940,D004933,D004931,D057765
Cornelia De Lange Syndrome,10,De Lange Syndrome,Jervell-Lange Nielsen Syndrome,Zellweger Syndrome,HELLP Syndrome,CHARGE Syndrome,D003635,D029593,D015211,D017359,D058747
Bronchopulmonary Dysplasia,10,Bronchopulmonary Dysplasia,Bronchopulmonary Sequestration,"Aspergillosis, Allergic Bronchopulmonary",Bronchogenic Cyst,Bronchomalacia,D001997,D001998,D001229,D001994,D055091
Hidradenitis Suppurativa,10,Hidradenitis Suppurativa,"Thyroiditis, Suppurative","Otitis Media, Suppurative",Duodenitis,Penile Induration,D017497,D013969,D010035,D004382,D010411
Pulmonary Arterial Hypertension,10,Pulmonary Arterial Hypertension,"Hypertension, Pulmonary",Familial Primary Pulmonary Hypertension,Pulmonary Heart Disease,"Stenosis, Pulmonary Artery",D000081029,D006976,D065627,D011660,D000071079
Nasopharyngeal Carcinoma,9,Nasopharyngeal Carcinoma,"Carcinoma, Papillary","Carcinoma, Adenoid Cystic",Laryngeal Neoplasms,Meningeal Carcinomatosis,D000077274,D002291,D003528,D007822,D055756
Liver Cirrhosis,9,"Liver Cirrhosis, Alcoholic","Liver Cirrhosis, Biliary","Liver Cirrhosis, Experimental",Hepatic Encephalopathy,End Stage Liver Disease,D008104,D008105,D008106,D006501,D058625
Diabetes,9,"Diabetes Mellitus, Type 1",Diabetic Foot,Diabetic Retinopathy,"Diabetes, Gestational","Diabetes Mellitus, Experimental",D003922,D017719,D003930,D016640,D003921
Duchenne Muscular Dystrophy,9,"Muscular Dystrophy, Duchenne",Myotonic Dystrophy,"Muscular Dystrophy, Facioscapulohumeral","Muscular Dystrophy, Oculopharyngeal",Cone Dystrophy,D020388,D009223,D020391,D039141,D000077765
Diabetic Kidney Disease,9,Diabetic Nephropathies,Diabetic Retinopathy,Diabetic Foot,Diabetic Cardiomyopathies,Diabetic Neuropathies,D003928,D003930,D017719,D058065,D003929
Ovarian Serous Carcinoma,9,"Carcinoma, Ovarian Epithelial","Cystadenocarcinoma, Serous","Carcinoma, Endometrioid","Cystadenoma, Serous","Carcinoma, Adenoid Cystic",D000077216,D018284,D018269,D018293,D003528
Pharyngitis,9,Phaeohyphomycosis,"Pneumonia, Pneumococcal",Arthrogryposis,Nasopharyngitis,Pyomyositis,D060446,D011018,D001176,D009304,D052880
Active Tuberculosis,9,Latent Tuberculosis,"Tuberculosis, Bovine","Tuberculosis, Spinal","Tuberculosis, Miliary","Tuberculosis, Cutaneous",D055985,D014380,D014399,D014391,D014382
Waldenstrom Macroglobulinemia,8,Waldenstrom Macroglobulinemia,Hypergammaglobulinemia,Cryoglobulinemia,Agammaglobulinemia,Hyper-IgM Immunodeficiency Syndrome,D008258,D006942,D003449,D000361,D053306
Myeloproliferative Neoplasm,8,Myelolipoma,Primary Myelofibrosis,Mediastinal Neoplasms,"Leukemia, Myelomonocytic, Juvenile","Leukemia, Myelomonocytic, Chronic",D018209,D055728,D008479,D054429,D015477
Follicular Lymphoma,8,"Lymphoma, Follicular",Follicular Cyst,"Dendritic Cell Sarcoma, Follicular",Composite Lymphoma,Burkitt Lymphoma,D008224,D005497,D054740,D058617,D002051
Malaria,8,"Malaria, Vivax","Malaria, Avian","Malaria, Cerebral",Parasitemia,Melanoma,D016780,D008289,D016779,D018512,D008545
Colon Cancer,8,Colonic Polyps,Sigmoid Neoplasms,Colitis-Associated Neoplasms,"Diverticulitis, Colonic","Diverticulum, Colon",D003111,D012811,D000083023,D004239,D004241
Smith-Lemli-Opitz Syndrome,8,Smith-Lemli-Opitz Syndrome,Lemierre Syndrome,Klippel-Feil Syndrome,POEMS Syndrome,Klinefelter Syndrome,D019082,D057831,D007714,D016878,D007713
Ankylosing Spondylitis,8,"Spondylitis, Ankylosing",Spondylolisthesis,Sacroiliitis,Ankyloglossia,Non-Radiographic Axial Spondyloarthritis,D013167,D013168,D058566,D000072676,D000089202
Barrett's Esophagus,8,Barrett Esophagus,Esophageal Stenosis,Bronchial Neoplasms,Esophageal Atresia,"Esophagitis, Peptic",D001471,D004940,D001984,D004933,D004942
Monoclonal Gammopathy of Undetermined Significance,8,Monoclonal Gammopathy of Undetermined Significance,Cryoglobulinemia,Microscopic Polyangiitis,Smoldering Multiple Myeloma,"Glomerulonephritis, Membranous",D008998,D003449,D055953,D000075122,D015433
Myocardial Infarction,8,Myocardial Reperfusion Injury,Pulmonary Infarction,Anterior Wall Myocardial Infarction,Hepatic Infarction,Inferior Wall Myocardial Infarction,D015428,D054060,D056988,D000081011,D056989
Squamous Cell Carcinoma,8,Esophageal Squamous Cell Carcinoma,Squamous Cell Carcinoma of Head and Neck,"Carcinoma, Adenosquamous",Atypical Squamous Cells of the Cervix,"Carcinoma, Non-Small-Cell Lung",D000077277,D000077195,D018196,D065309,D002289
Head And Neck Squamous Cell Carcinoma,8,Squamous Cell Carcinoma of Head and Neck,Esophageal Squamous Cell Carcinoma,Nasopharyngeal Carcinoma,Hypopharyngeal Neoplasms,"Carcinoma, Skin Appendage",D000077195,D000077277,D000077274,D007012,D018280
Tuberculosis/Hyperglycaemia And Diabetes,8,"Tuberculosis, Female Genital","Tuberculosis, Male Genital","Tuberculosis, Gastrointestinal","Tuberculosis, Bovine","Tuberculosis, Spinal",D014384,D014389,D014385,D014380,D014399
Ichthyosis,8,Ichthyosis Vulgaris,"Ichthyosis, Lamellar",Ichthyosis Bullosa of Siemens,"Ichthyosis, X-Linked",Ecthyma,D016112,D017490,D053560,D016114,D004473
Chronic Kidney Disease,8,Chronic Kidney Diseases of Uncertain Etiology,Chronic Kidney Disease-Mineral and Bone Disorder,"Wasting Disease, Chronic",Chronic Pain,Diabetic Nephropathies,D000092702,D012080,D034081,D059350,D003928
Eosinophilic Esophagitis,7,Eosinophilic Esophagitis,Eosinophilic Granuloma,"Esophagitis, Peptic",Esophageal Stenosis,Pulmonary Eosinophilia,D057765,D004803,D004942,D004940,D011657
Chronic Rhinosinusitis,7,Chronic Periodontitis,Rhinoscleroma,Chronic Pain,Rhinophyma,"Bronchitis, Chronic",D055113,D012226,D059350,D012224,D029481
Astrocytoma,7,Glioblastoma,Anaplasia,Meningioma,Gliosarcoma,Medulloblastoma,D005909,D000708,D008579,D018316,D008527
Lymphoma,7,Composite Lymphoma,"Lymphoma, AIDS-Related",Plasmablastic Lymphoma,"Lymphoma, Primary Effusion",Lymphomatoid Papulosis,D058617,D016483,D000069293,D054685,D017731
Facioscapulohumeral Dystrophy,7,"Muscular Dystrophy, Facioscapulohumeral",Facies,Cone Dystrophy,"Muscular Dystrophy, Oculopharyngeal","Muscular Dystrophy, Duchenne",D020391,D019066,D000077765,D039141,D020388
Arthritis,7,"Arthritis, Juvenile","Arthritis, Gouty","Arthritis, Psoriatic","Arthritis, Experimental","Arthritis, Reactive",D001171,D015210,D015535,D001169,D016918
Acute-On-Chronic Liver Failure,7,Acute-On-Chronic Liver Failure,"Chemical and Drug Induced Liver Injury, Chronic",Acute Disease,"Liver Cirrhosis, Alcoholic","Hepatitis B, Chronic",D065290,D056487,D000208,D008104,D019694
Mycosis Fungoides,7,Fungemia,Mycetoma,Coccidioidomycosis,Fusariosis,Blastomycosis,D016469,D008271,D003047,D060585,D001759
Age Related Macular Degeneration,7,Retinal Degeneration,Wet Macular Degeneration,Macular Edema,Vitelliform Macular Dystrophy,"Myopia, Degenerative",D012162,D057135,D008269,D057826,D047728
Systemic Juvenile Idiopathic Arthritis,7,"Arthritis, Juvenile","Hyperostosis, Diffuse Idiopathic Skeletal","Arthritis, Psoriatic","Arthritis, Gouty","Arthritis, Reactive",D001171,D004057,D015535,D015210,D016918
Generalized Pustular Psoriasis,7,Acute Generalized Exanthematous Pustulosis,"Lipodystrophy, Congenital Generalized",Pyoderma Gangrenosum,"Arthritis, Psoriatic","Dermatitis, Perioral",D056150,D052497,D017511,D015535,D019557
Wilms Tumor,7,Rhabdoid Tumor,Gonadoblastoma,Glomus Tumor,Hemangioblastoma,Sertoli Cell Tumor,D018335,D018238,D005918,D018325,D012707
Dermatomyositis,7,Dermatomyositis,Pyomyositis,Mucositis,Dermatofibrosarcoma,Serositis,D003882,D052880,D052016,D018223,D012700
Polyarticular Juvenile Idiopathic Arthritis,7,"Arthritis, Juvenile",Polyuria,"Polyendocrinopathies, Autoimmune","Fibrous Dysplasia, Polyostotic",Polyradiculopathy,D001171,D011141,D016884,D005359,D011128
Interstitial Lung Disease,7,"Pregnancy, Interstitial","Cystitis, Interstitial",Pulmonary Heart Disease,Pulmonary Emphysema,Pulmonary Fibrosis,D065167,D018856,D011660,D011656,D011658
Sjogren's Syndrome,7,Sjogren's Syndrome,Sjogren-Larsson Syndrome,Scimitar Syndrome,Stevens-Johnson Syndrome,Cogan Syndrome,D012859,D016111,D012587,D013262,D055952
Williams Syndrome,7,Williams Syndrome,Werner Syndrome,Gardner Syndrome,Zellweger Syndrome,Poland Syndrome,D018980,D014898,D005736,D015211,D011045
Vestibular Schwannoma,7,Vestibular Neuronitis,Vipoma,"Neurofibroma, Plexiform",Dizziness,Somatostatinoma,D020338,D003969,D018318,D004244,D013005
Diffuse Large B-Cell Lymphoma,7,"Lymphoma, Large-Cell, Immunoblastic","Lymphoma, Primary Cutaneous Anaplastic Large Cell","Lymphoma, Large-Cell, Anaplastic","Scleroderma, Diffuse",Plasmablastic Lymphoma,D016400,D054446,D017728,D045743,D000069293
B-Cell Acute Lymphoblastic Leukemia,7,"Leukemia, Lymphocytic, Chronic, B-Cell",Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,"Leukemia, Basophilic, Acute","Leukemia, Erythroblastic, Acute","Leukemia-Lymphoma, Adult T-Cell",D015451,D015452,D015471,D004915,D015459
Behcet's Disease,6,Behcet Syndrome,Borna Disease,Whipple Disease,Creutzfeldt-Jakob Syndrome,Darier Disease,D001528,D001890,D008061,D007562,D007644
Intracranial Aneurysm,6,Intracranial Aneurysm,Intracranial Embolism,Intracranial Hypotension,"Intracranial Hemorrhage, Hypertensive","Vasospasm, Intracranial",D002532,D020766,D019585,D020299,D020301
Systemic Inflammatory Response Syndrome,6,Immune Reconstitution Inflammatory Syndrome,Cytokine Release Syndrome,Macrophage Activation Syndrome,Sepsis-Associated Encephalopathy,Severe Acute Respiratory Syndrome,D054019,D000080424,D055501,D065166,D045169
