mesh_id,label,tree_numbers,tree_categories,n_articles,annotation,scope_note,chunk_number,sorted_tree_categories,first_tree_category
D013606,Tabes Dorsalis,"['C01.150.252.223.600.800', 'C01.150.252.400.794.840.500.750.800', 'C01.150.252.400.840.500.750.800', 'C01.207.180.600.800', 'C10.228.228.180.600.800', 'C10.228.854.889']","['C01', 'C10']",2122,,"ParenchymatousNEUROSYPHILISmarked by slowly progressive degeneration of the posterior columns, posterior roots, and ganglia of the spinal cord. The condition tends to present 15 to 20 years after the initial infection and is characterized by lightening-like pains in the lower extremities,URINARY INCONTINENCE;ATAXIA; severely impaired position and vibratory sense, abnormal gait (seeGAIT DISORDERS, NEUROLOGIC),OPTIC ATROPHY; Argyll-Robertson pupils, hypotonia, hyperreflexia, and trophic joint degeneration (Charcot's Joint; seeARTHROPATHY, NEUROGENIC). (From Adams et al., Principles of Neurology, 6th ed, p726)",1,"['C10', 'C01']",C10
D016862,"Tuberculoma, Intracranial","['C01.150.252.223.850.400', 'C01.150.252.410.040.552.846.493.400', 'C01.150.252.410.040.552.846.617.200.300', 'C01.207.180.850.400', 'C10.228.228.180.850.400']","['C01', 'C10']",1304,not a neoplasm; coord IM with specif part of brain or precoord brain/dis (IM),"A well-circumscribed mass composed of tuberculous granulation tissue that may occur in the cerebral hemispheres, cerebellum, brain stem, or perimeningeal spaces. Multiple lesions are quite common. Management of intracranial manifestations vary with lesion site. Intracranial tuberculomas may be associated withSEIZURES, focal neurologic deficits, andINTRACRANIAL HYPERTENSION. Spinal cord tuberculomas may be associated with localized or radicular pain, weakness, sensory loss, and incontinence. Tuberculomas may arise asOPPORTUNISTIC INFECTIONS, but also occur in immunocompetent individuals.",1,"['C10', 'C01']",C10
D004698,"Endocarditis, Subacute Bacterial","['C01.150.252.245.500', 'C01.150.252.410.890.335', 'C01.190.249.407', 'C14.260.249.407', 'C14.280.282.407.407']","['C01', 'C14']",2384,coordinate with specific bacterium /infections heading (IM),ENDOCARDIUMinfection that is usually caused bySTREPTOCOCCUS. Subacute infective endocarditis evolves over weeks and months with modest toxicity and rare metastatic infection.,1,"['C01', 'C14']",C01
D003235,"Conjunctivitis, Inclusion","['C01.150.252.289.225.250', 'C01.150.252.400.210.125.245', 'C01.375.354.220.250', 'C11.187.183.220.250', 'C11.294.354.220.250']","['C01', 'C11']",866,caused by Chlamydia trachomatis,An infection of the eyes characterized by the presence in conjunctival epithelial cells of inclusion bodies indistinguishable from those of trachoma. It is acquired by infants during birth and by adults from swimming pools. The etiological agent isCHLAMYDIA TRACHOMATISwhose natural habitat appears to be the genito-urinary tract. Inclusion conjunctivitis is a less severe disease than trachoma and usually clears up spontaneously.,1,"['C01', 'C11']",C01
D009878,Ophthalmia Neonatorum,"['C01.150.252.289.225.625', 'C01.150.252.400.625.774', 'C01.375.354.220.625', 'C11.187.183.220.538', 'C11.294.354.220.625', 'C16.614.677']","['C01', 'C11', 'C16']",981,"bact conjunctivitis; do not use/‌congen& do not coord withINFANT, NEWBORN, DISEASES","Acute conjunctival inflammation in the newborn, usually caused by maternal gonococcal infection. The causative agent isNEISSERIA GONORRHOEAE. The baby's eyes are contaminated during passage through the birth canal.",1,"['C01', 'C11', 'C16']",C01
D014141,Trachoma,"['C01.150.252.289.225.800', 'C01.150.252.400.210.125.745', 'C01.375.354.220.800', 'C11.187.183.220.889', 'C11.204.813', 'C11.294.354.220.800']","['C01', 'C11']",7852,coordinate withNEGLECTED DISEASESif pertinent,A chronic infection of theCONJUNCTIVAandCORNEAcaused byCHLAMYDIA TRACHOMATIS.,1,"['C01', 'C11']",C01
D014392,"Tuberculosis, Ocular","['C01.150.252.289.800', 'C01.375.354.800', 'C11.294.354.800']","['C01', 'C11']",1900,IM; coord IM with specific eye heading (IM) or eye dis heading (IM),"Tuberculous infection of the eye, primarily the iris, ciliary body, and choroid.",1,"['C01', 'C11']",C01
D010202,Panophthalmitis,"['C01.150.252.289.900.675', 'C01.150.703.320.900.675', 'C01.375.354.900.675', 'C01.375.450.900.675', 'C11.294.354.900.675', 'C11.294.450.900.675', 'C11.941.879.960.580']","['C01', 'C11']",956,inflamm of all struct of eye: a clin entity; do not use as a coord for inflamm of specific parts of eye: these are available as -ITIS headings in C11,Acute suppurative inflammation of the inner eye with necrosis of the sclera (and sometimes the cornea) and extension of the inflammation into the orbit. Pain may be severe and the globe may rupture. In endophthalmitis the globe does not rupture.,1,"['C11', 'C01']",C11
D018934,Fournier Gangrene,"['C01.150.252.377', 'C12.100.500.229', 'C12.200.294.229']","['C01', 'C12']",2564,coordinate IM with specific site or organ/diseases term (IM) or with specific bacterial infection (IM) only if particularly discussed,"An acute necrotic infection of theSCROTUM;PENIS; orPERINEUM. It is characterized by scrotum pain and redness with rapid progression to gangrene and sloughing of tissue. Fournier gangrene is usually secondary to perirectal or periurethral infections associated with local trauma, operative procedures, or urinary tract disease.",1,"['C12', 'C01']",C12
D000712,Anaplasmosis,"['C01.150.252.400.054.500', 'C01.920.930.163', 'C22.085']","['C01', 'C22']",4647,usually animal,A disease usually in cattle caused by parasitization of the red blood cells by bacteria of the genusANAPLASMA.,1,"['C01', 'C22']",C01
D006357,Heartwater Disease,"['C01.150.252.400.054.750.500', 'C01.920.930.300.500', 'C22.434']","['C01', 'C22']",749,,A tick-borne septicemic disease of domestic and wild ruminants caused byEHRLICHIA RUMINANTIUM.,1,"['C01', 'C22']",C01
D001442,Bacteroides Infections,['C01.150.252.400.110.109'],['C01'],3204,gram-neg bact infect,Infections with bacteria of the genusBACTEROIDES.,1,['C01'],C01
D016917,"Angiomatosis, Bacillary","['C01.150.252.400.126.100.075', 'C01.150.252.819.150', 'C01.800.720.150', 'C14.907.077.060', 'C17.800.838.765.150', 'C17.800.862.060']","['C01', 'C14', 'C17']",1694,,"A reactive vascular proliferation that is characterized by the multiple tumor-like lesions in skin, bone, brain, and other organs. Bacillary angiomatosis is caused by infection with gram-negative Bartonella bacilli (such asBARTONELLA HENSELAE), and is often seen inAIDSpatients and otherIMMUNOCOMPROMISED HOSTS.",1,"['C17', 'C01', 'C14']",C17
D002372,Cat-Scratch Disease,"['C01.150.252.400.126.100.150', 'C15.604.315.249']","['C01', 'C15']",7483,coord IM withAFIPIA(IM) orBARTONELLA HENSELAE(IM) if appropriate,"A self-limiting bacterial infection of the regional lymph nodes caused byAFIPIAfelis, a gram-negative bacterium recently identified by the Centers for Disease Control and Prevention and byBARTONELLA HENSELAE. It usually arises one or more weeks following a feline scratch, with raised inflammatory nodules at the site of the scratch being the primary symptom.",1,"['C01', 'C15']",C01
D014205,Trench Fever,['C01.150.252.400.126.100.800'],['C01'],830,caused by Bartonella quintana; do not confuse withTRENCH FOOT,"An intermittent fever characterized by intervals of chills, fever, and splenomegaly each of which may last as long as 40 hours. It is caused byBARTONELLA QUINTANAand transmitted by the human louse.",1,['C01'],C01
D014917,Whooping Cough,"['C01.150.252.400.143.500', 'C01.748.969', 'C08.730.969']","['C01', 'C08']",24328,caused by Bordetella pertussis,A respiratory infection caused byBORDETELLA PERTUSSISand characterized by paroxysmal coughing ending in a prolonged crowing intake of breath.,1,"['C08', 'C01']",C08
D002007,"Brucellosis, Bovine","['C01.150.252.400.167.322', 'C22.021.322', 'C22.196.148']","['C01', 'C22']",2705,"in cattle only: if transmitted to man, useBRUCELLOSISfor the human; don't forget alsoCATTLE(NIM) & check tagANIMALS",A disease of cattle caused by bacteria of the genusBRUCELLAleading to abortion in late pregnancy.BRUCELLA ABORTUSis the primary infective agent.,1,"['C01', 'C22']",C01
D008554,Melioidosis,['C01.150.252.400.170.531'],['C01'],4485,"caused by Burkholderia pseudomallei; in India, Malay & Indonesia","A disease of humans and animals that resemblesGLANDERS. It is caused byBURKHOLDERIA PSEUDOMALLEIand may range from a dormant infection to a condition that causes multiple abscesses,PNEUMONIAandBACTEREMIA.",1,['C01'],C01
D002169,Campylobacter Infections,['C01.150.252.400.177'],['C01'],11218,gram-neg bact infect,Infections with bacteria of the genusCAMPYLOBACTER.,1,['C01'],C01
D061387,Chlamydial Pneumonia,"['C01.150.252.400.210.125.123', 'C01.150.252.400.210.250.299', 'C01.150.252.620.249', 'C01.748.610.540.249', 'C08.381.677.540.249', 'C08.730.610.540.249']","['C01', 'C08']",7283,,"Pneumonia caused by infections with the genusCHLAMYDIA; andCHLAMYDOPHILA, usually withCHLAMYDOPHILA PNEUMONIAE.",1,"['C01', 'C08']",C01
D008219,Lymphogranuloma Venereum,"['C01.150.252.400.210.125.490', 'C01.150.252.734.301.490', 'C01.221.812.281.301.490', 'C01.778.281.301.490', 'C12.100.937.281.301.490']","['C01', 'C12']",2606,caused by Chlamydia trachomatis,"Subacute inflammation of the inguinal lymph glands caused by certain immunotypes ofCHLAMYDIA TRACHOMATIS. It is a sexually transmitted disease in the U.S. but is more widespread in developing countries. It is distinguished from granuloma venereum (seeGRANULOMA INGUINALE), which is caused by Calymmatobacterium granulomatis.",1,"['C01', 'C12']",C01
D009956,Psittacosis,['C01.150.252.400.210.250.600'],['C01'],3198,,"Infection withCHLAMYDOPHILA PSITTACI(formerly Chlamydia psittaci), transmitted to humans by inhalation of dust-borne contaminated nasal secretions or excreta of infectedBIRDS. This infection results in a febrile illness characterized byPNEUMONITISand systemic manifestations.",1,['C01'],C01
D004405,"Dysentery, Bacillary","['C01.150.252.400.310.229', 'C06.405.205.331.479', 'C06.405.469.300.479']","['C01', 'C06']",12581,coord IM with specific organism (IM) if pertinent,"DYSENTERYcaused by gram-negative rod-shaped enteric bacteria (ENTEROBACTERIACEAE), most often by the genusSHIGELLA. Shigella dysentery, Shigellosis, is classified into subgroups according to syndrome severity and the infectious species. Group A:SHIGELLA DYSENTERIAE(severest); Group B:SHIGELLA FLEXNERI; Group C:SHIGELLA BOYDII; and Group D:SHIGELLA SONNEI(mildest).",1,"['C01', 'C06']",C01
D006100,Granuloma Inguinale,"['C01.150.252.400.310.417', 'C01.150.252.734.451', 'C01.150.252.819.360', 'C01.221.812.281.451', 'C01.778.281.451', 'C01.800.720.360', 'C12.100.937.281.451', 'C17.800.838.765.360']","['C01', 'C12', 'C17']",965,non-neoplastic; gram-neg bact infect; sexually transmitted,Anogenital ulcers caused by Calymmatobacterium granulomatis as distinguished from lymphogranuloma inguinale (seeLYMPHOGRANULOMA VENEREUM) caused byCHLAMYDIA TRACHOMATIS. Diagnosis is made by demonstration of typical intracellular Donovan bodies in crushed-tissue smears.,1,"['C01', 'C12', 'C17']",C01
D012226,Rhinoscleroma,"['C01.150.252.400.310.503.500', 'C01.150.252.819.705', 'C01.748.702', 'C01.800.720.705', 'C08.460.850', 'C08.730.702', 'C09.603.850', 'C17.800.838.765.705']","['C01', 'C08', 'C09', 'C17']",1064,,"A granulomatous disease caused byKLEBSIELLA RHINOSCLEROMATISinfection. Despite its name, this disease is not limited to the nose andNASOPHARYNXbut may affect any part of theRESPIRATORY TRACT, sometimes with extension to the lip and the skin.",1,"['C01', 'C17', 'C08', 'C09']",C01
D011512,Proteus Infections,['C01.150.252.400.310.708'],['C01'],2975,,Infections with bacteria of the genusPROTEUS.,1,['C01'],C01
D010284,Paratyphoid Fever,['C01.150.252.400.310.821.438'],['C01'],3451,specify Salmonella paratyphi species if possible (IM),A prolonged febrile illness commonly caused by several Paratyphi serotypes ofSALMONELLA ENTERICA. It is similar toTYPHOID FEVERbut less severe.,1,['C01'],C01
D012478,Salmonella Food Poisoning,"['C01.150.252.400.310.821.606', 'C25.723.415.738']","['C01', 'C25']",3244,,"Poisoning caused by ingestion of food harboring species ofSALMONELLA. Conditions of raising, shipping, slaughtering, and marketing of domestic animals contribute to the spread of this bacterium in the food supply.",1,"['C01', 'C25']",C01
D012481,"Salmonella Infections, Animal","['C01.150.252.400.310.821.706', 'C22.812']","['C01', 'C22']",9201,exper or vet; don't forget to check tagANIMALS,Infections in animals with bacteria of the genusSALMONELLA.,1,"['C01', 'C22']",C01
D014435,Typhoid Fever,['C01.150.252.400.310.821.873'],['C01'],25924,,"An acute systemic febrile infection caused bySALMONELLA TYPHI, a serotype ofSALMONELLA ENTERICA.",1,['C01'],C01
D016868,Serratia Infections,['C01.150.252.400.310.850'],['C01'],1333,gram-neg bact infect,Infections with bacteria of the genusSERRATIA.,1,['C01'],C01
D010930,Plague,"['C01.150.252.400.310.980.390', 'C01.920.906']",['C01'],17063,Pasteurella pestis or Yersinia pestis infection only; swine plague =HEMORRHAGIC SEPTICEMIA/‌vet(IM) +SWINE DISEASES(IM) but do not confuse with African swine plague ( =AFRICAN SWINE FEVER),"An acute infectious disease caused byYERSINIA PESTISthat affects humans, wild rodents, and their ectoparasites. This condition persists due to its firm entrenchment in sylvatic rodent-flea ecosystems throughout the world. Bubonic plague is the most common form.",1,['C01'],C01
D015012,Yersinia pseudotuberculosis Infections,['C01.150.252.400.310.980.780'],['C01'],1536,,Infections with bacteria of the speciesYERSINIA PSEUDOTUBERCULOSIS.,1,['C01'],C01
D045826,Flavobacteriaceae Infections,['C01.150.252.400.349'],['C01'],955,,Infections with bacteria of the familyFLAVOBACTERIACEAE.,1,['C01'],C01
D005535,Foot Rot,"['C01.150.252.400.369', 'C22.394']","['C01', 'C22']",16631,coordinate with appropriate infection term + precoordinated animal/disease term if pertinent,"A disease of the horny parts and of the adjacent soft structures of the feet of cattle, swine, and sheep. It is usually caused by Corynebacterium pyogenes or Bacteroides nodosus (seeDICHELOBACTER NODOSUS). It is also known as interdigital necrobacillosis. (From Black's Veterinary Dictionary, 18th ed)",1,"['C01', 'C22']",C01
D005892,"Gingivitis, Necrotizing Ulcerative","['C01.150.252.400.388.350.350', 'C01.408.446', 'C07.465.714.258.480.446']","['C01', 'C07']",2441,,"An acute or chronicGINGIVITIScharacterized by redness and swelling,NECROSISextending from the interdental papillae along the gingival margins,PAIN;HEMORRHAGE, necrotic odor, and often a pseudomembrane. The condition may extend to theORAL MUCOSA;TONGUE;PALATE; orPHARYNX. The etiology is somewhat unclear, but may involve a complex ofFUSOBACTERIUM NUCLEATUMalong with spirochetesBORRELIAorTREPONEMA.",1,"['C07', 'C01']",C07
D057831,Lemierre Syndrome,"['C01.150.252.400.388.350.700', 'C07.550.174', 'C09.775.262', 'C14.907.355.830.925.770.500', 'C14.907.617.718.788.500', 'C14.907.940.740.910.500']","['C01', 'C07', 'C09', 'C14']",1375,,A superinfection of the damaged oropharyngeal mucosa byFUSOBACTERIUM NECROPHORUMleading to the secondary septicTHROMBOPHLEBITISof the internal jugular vein.,1,"['C01', 'C14', 'C07', 'C09']",C01
D016481,Helicobacter Infections,['C01.150.252.400.466'],['C01'],49608,gram-neg bact infect; check text for genus & species: Campylobacter pylori =HELICOBACTER PYLORI; Campylobacter pylori infect =HELICOBACTER INFECTIONS(IM) +HELICOBACTER PYLORI(IM) but Campylobacter jejuni infect =CAMPYLOBACTER INFECTIONS(IM) +CAMPYLOBACTER JEJUNI(IM); DF: HELICOBACTER INFECT,"Infections with organisms of the genusHELICOBACTER, particularly, in humans,HELICOBACTER PYLORI. The clinical manifestations are focused in the stomach, usually the gastric mucosa and antrum, and the upper duodenum. This infection plays a major role in the pathogenesis of type B gastritis and peptic ulcer disease.",1,['C01'],C01
D007877,Legionnaires' Disease,"['C01.150.252.400.500.501', 'C01.748.382.380', 'C08.730.382.380']","['C01', 'C08']",7910,caused by Legionella pneumophila: infect by other Legionella species =LEGIONELLOSIS,"An acute, sometimes fatal, pneumonia-like bacterial infection characterized by high fever, malaise, muscle aches, respiratory disorders and headache. It is named for an outbreak at the 1976 Philadelphia convention of the American Legion.",1,"['C01', 'C08']",C01
D015787,Erythema Chronicum Migrans,"['C01.150.252.400.536.400', 'C01.150.252.400.794.352.250.400', 'C01.150.252.819.310', 'C01.800.720.310', 'C01.920.930.513.400', 'C17.800.229.200', 'C17.800.838.765.310']","['C01', 'C17']",1463,"from a tick bite; ""stage-1 manifestation ofLYME DISEASE""","A deep type of gyrate erythema that follows a bite by an ixodid tick; it is a stage-1 manifestation ofLYME DISEASE. The site of the bite is characterized by a red papule that expands peripherally as a nonscaling, palpable band that clears centrally. This condition is often associated with systemic symptoms such as chills, fever, headache, malaise, nausea, vomiting, fatigue, backache, and stiff neck.",1,"['C01', 'C17']",C01
D000077342,Post-Lyme Disease Syndrome,"['C01.150.252.400.536.850', 'C01.150.252.400.794.352.250.850', 'C01.920.930.513.850', 'C23.550.291.500.829.500']","['C01', 'C23']",1004,,"A condition caused by long-lasting and ongoing infection with the spirochete Borrelia burgdorferi resulting in progressive inflammatory neurologic, neuromuscular, and dermatologic manifestations includingENCEPHALITIS;MYELITIS; acrodermatitis chronica atrophicans; andARTHRITIS.",1,"['C01', 'C23']",C01
D000151,Acinetobacter Infections,['C01.150.252.400.560.022'],['C01'],6903,gram-neg bact infect,Infections with bacteria of the genusACINETOBACTER.,1,['C01'],C01
D011002,"Pleuropneumonia, Contagious","['C01.150.252.400.610.610.717', 'C22.717']","['C01', 'C22']",1029,Mycoplasma infect; animal only; check tagANIMALS; coord IM with precoord animal/dis term (IM) + animal (NIM) or with animal (IM) in absence of precoord,A pleuropneumonia of cattle and goats caused by species ofMYCOPLASMA.,1,"['C01', 'C22']",C01
D011019,"Pneumonia, Mycoplasma","['C01.150.252.400.610.610.760', 'C01.150.252.620.500', 'C01.748.610.540.545', 'C08.381.677.540.500', 'C08.730.610.540.545']","['C01', 'C08']",18124,,"Interstitial pneumonia caused by extensive infection of the lungs (LUNG) andBRONCHI, particularly the lower lobes of the lungs, byMYCOPLASMA PNEUMONIAEin humans. InSHEEP, it is caused byMYCOPLASMA OVIPNEUMONIAE. InCATTLE, it may be caused byMYCOPLASMA DISPAR.",1,"['C01', 'C08']",C01
D016869,Ureaplasma Infections,['C01.150.252.400.610.850'],['C01'],1800,,Infections with bacteria of the genusUREAPLASMA.,1,['C01'],C01
D006069,Gonorrhea,"['C01.150.252.400.625.275', 'C01.150.252.734.401', 'C01.221.812.281.401', 'C01.778.281.401', 'C12.100.937.281.401']","['C01', 'C12']",34636,caused by Neisseria gonorrhoeae,"Acute infectious disease characterized by primary invasion of the urogenital tract. The etiologic agent,NEISSERIA GONORRHOEAE, was isolated by Neisser in 1879.",1,"['C01', 'C12']",C01
D002602,Chancroid,"['C01.150.252.400.700.433.308', 'C01.150.252.734.201', 'C01.221.812.281.201', 'C01.778.281.201', 'C12.100.937.281.201']","['C01', 'C12']",1732,"caused by Haemophilus ducreyi; do not confuse withCHANCRE, the primary lesion of syphilis","Acute, localized autoinoculable infectious disease usually acquired through sexual contact. Caused byHAEMOPHILUS DUCREYI, it occurs endemically almost worldwide, especially in tropical and subtropical countries and more commonly in seaports and urban areas than in rural areas.",1,"['C01', 'C12']",C01
D012766,"Pasteurellosis, Pneumonic","['C01.150.252.400.700.675', 'C01.748.085.600', 'C01.925.782.580.600.600.648', 'C08.730.085.600', 'C22.196.090.600']","['C01', 'C08', 'C22']",1120,"infection: coordinate withPASTEURELLA MULTOCIDA(IM),MANNHEIMIA HAEMOLYTICA(IM) orHAEMOPHILUS SOMNUS(IM) only if particularly discussed; if in cows, check the tagCATTLE; if in other animas, coordinate with precoordinated animal/disease term (IM) + specific animal (NIM) or specific animal (IM) if there is no precoordinated animal/disease term","Bovine respiratory disease found in animals that have been shipped or exposed toCATTLErecently transported. The major agent responsible for the disease isMANNHEIMIA HAEMOLYTICAand less commonly,PASTEURELLA MULTOCIDAorHAEMOPHILUS SOMNUS. All three agents are normal inhabitants of the bovine nasal pharyngeal mucosa but not theLUNG. They are considered opportunistic pathogens followingSTRESS, PHYSIOLOGICALand/or a viral infection. The resulting bacterial fibrinousBRONCHOPNEUMONIAis often fatal.",1,"['C01', 'C08', 'C22']",C01
D011552,Pseudomonas Infections,['C01.150.252.400.739'],['C01'],29912,gram-neg bact infect; see note underPSEUDOMONAS AERUGINOSA,Infections with bacteria of the genusPSEUDOMONAS.,1,['C01'],C01
D011778,Q Fever,['C01.150.252.400.755'],['C01'],11933,,"An acute infectious disease caused byCOXIELLA BURNETII. It is characterized by a sudden onset ofFEVER;HEADACHE; malaise; and weakness. In humans, it is commonly contracted by inhalation of infected dusts derived from infected domestic animals (ANIMALS, DOMESTIC).",1,['C01'],C01
D011906,Rat-Bite Fever,['C01.150.252.400.771'],['C01'],1697,,"A syndrome characterized by recurring fever, rash, and arthralgias occurring days to weeks after a rat bite. The causative agents are either Streptobacillus moniliformis or Spirillum minus.",1,['C01'],C01
D001907,Boutonneuse Fever,"['C01.150.252.400.789.725.400.250', 'C01.920.930.887.250']",['C01'],1546,caused byRICKETTSIA CONORII,"A febrile disease of the Mediterranean area, the Crimea, Africa, and India, caused by infection withRICKETTSIA CONORII.",1,['C01'],C01
D012373,Rocky Mountain Spotted Fever,"['C01.150.252.400.789.725.400.500', 'C01.920.930.887.500']",['C01'],3646,"caused by Rickettsia rickettsii; for X ref, in titles & translations use diacrit: São Paulo",An acute febrile illness caused byRICKETTSIA RICKETTSII. It is transmitted to humans by bites of infected ticks and occurs only in North and South America. Characteristics include a sudden onset with headache and chills and fever lasting about two to three weeks. A cutaneous rash commonly appears on the extremities and trunk about the fourth day of illness.,1,['C01'],C01
D014437,"Typhus, Endemic Flea-Borne","['C01.150.252.400.789.725.800', 'C01.920.914.725.800']",['C01'],1544,,"An infectious disease clinically similar to epidemic louse-borne typhus (TYPHUS, EPIDEMIC LOUSE-BORNE), but caused byRICKETTSIA TYPHI, which is transmitted from rat to man by the rat flea,XENOPSYLLA CHEOPIS.",1,['C01'],C01
